,name,author,number of ratings,url,avg_ratings
367,"  Mossflower (Redwall, #2)",Brian Jacques,"64,871",https://www.goodreads.com//book/show/201341.Mossflower,4.09
368,"  The Dark Mirror (The Bridei Chronicles, #1)",Juliet Marillier (Goodreads Author),"8,886",https://www.goodreads.com//book/show/25296.The_Dark_Mirror,3.98
369,"  Son of Ereubus (Guardians of Legend, #1)",J.S. Chancellor (Goodreads Author),273,https://www.goodreads.com//book/show/8942981-son-of-ereubus,3.66
370,  Nine Princes in Amber (The Chronicles of Amber #1),Roger Zelazny,"54,184",https://www.goodreads.com//book/show/92121.Nine_Princes_in_Amber,4.05
371,"  The King Beyond the Gate (The Drenai Saga, #2)",David Gemmell,"13,008",https://www.goodreads.com//book/show/613991.The_King_Beyond_the_Gate,4.13
372,"  The Red Knight (The Traitor Son Cycle, #1)",Miles  Cameron (Goodreads Author),"15,208",https://www.goodreads.com//book/show/13616278-the-red-knight,4.11
373,"  Mystic and Rider (Twelve Houses, #1)",Sharon Shinn,"9,583",https://www.goodreads.com//book/show/97967.Mystic_and_Rider,4.09
374,"  The Looking Glass Wars (The Looking Glass Wars, #1)",Frank Beddor (Goodreads Author),"42,021",https://www.goodreads.com//book/show/44170.The_Looking_Glass_Wars,3.93
375,"  The Magic Kingdom of Landover, Volume 1 (Magic Kingdom of Landover, #1-3)",Terry Brooks (Goodreads Author),"2,976",https://www.goodreads.com//book/show/6130616-the-magic-kingdom-of-landover-volume-1,4.12
376,"  The Innocent Mage (Kingmaker, Kingbreaker, #1)",Karen Miller,"18,800",https://www.goodreads.com//book/show/1051620.The_Innocent_Mage,3.66
377,"  The Farthest Shore (Earthsea Cycle, #3)",Ursula K. Le Guin,"97,383",https://www.goodreads.com//book/show/13667.The_Farthest_Shore,4.11
378,  Empress (Godspeaker Trilogy #1),Karen Miller,"5,708",https://www.goodreads.com//book/show/2015492.Empress,3.48
379,"  Silverthorn (The Riftwar Saga, #3)",Raymond E. Feist,"56,811",https://www.goodreads.com//book/show/149302.Silverthorn,4.08
380,"  The Ladies of Mandrigyn (Sun Wolf and Starhawk, #1)",Barbara Hambly (Goodreads Author),"3,089",https://www.goodreads.com//book/show/1022658.The_Ladies_of_Mandrigyn,3.95
381,"  The Red Wolf Conspiracy (The Chathrand Voyage, #1)",Robert V.S. Redick (Goodreads Author),"6,041",https://www.goodreads.com//book/show/2408602.The_Red_Wolf_Conspiracy,3.69
382,"  The Assassin's Blade (Throne of Glass, #0.1-0.5)",Sarah J. Maas (Goodreads Author),"145,427",https://www.goodreads.com//book/show/18243700-the-assassin-s-blade,4.38
383,"  Son of the Shadows (Sevenwaters, #2)",Juliet Marillier (Goodreads Author),"28,214",https://www.goodreads.com//book/show/13927.Son_of_the_Shadows,4.33
384,"  Ravenheart (The Rigante, #3)",David Gemmell,"6,264",https://www.goodreads.com//book/show/505352.Ravenheart,4.27
385,"  Gormenghast (Gormenghast, #2)",Mervyn Peake,"12,093",https://www.goodreads.com//book/show/258392.Gormenghast,4.03
386,  Avaland,Amy Croucher Rose,26,https://www.goodreads.com//book/show/40273980-avaland,4.58
387,  Chasing the Red Queen,Karen Glista,"2,066",https://www.goodreads.com//book/show/38343303-chasing-the-red-queen,4.27
388,  Diplomat of Uram,Richard R. Matthews,30,https://www.goodreads.com//book/show/53172026-diplomat-of-uram,4.60
389,  The Awakening: Fate in Motion,Suzanne Boisvert (Goodreads Author),"6,629",https://www.goodreads.com//book/show/41423092-the-awakening,4.31
390,  Redstone (The Ammolite Adventures #2),C.E.  Johnson (Goodreads Author),85,https://www.goodreads.com//book/show/30150701-redstone,4.60
391,"  Froi of the Exiles (Lumatere Chronicles, #2)",Melina Marchetta (Goodreads Author),"16,554",https://www.goodreads.com//book/show/10165727-froi-of-the-exiles,4.29
392,"  City of Stairs (The Divine Cities, #1)",Robert Jackson Bennett (Goodreads Author),"30,782",https://www.goodreads.com//book/show/20174424-city-of-stairs,4.05
393,  Bluestone (The Ammolite Adventures #1),C.E.  Johnson (Goodreads Author),127,https://www.goodreads.com//book/show/27837381-bluestone,4.35
394,  Rise of the Flame (The Eura Chronicles #1),K.N. Lee (Goodreads Author),612,https://www.goodreads.com//book/show/24148841-rise-of-the-flame,3.97
395,"  Blade of Fortriu (The Bridei Chronicles, #2)",Juliet Marillier (Goodreads Author),"6,171",https://www.goodreads.com//book/show/13923.Blade_of_Fortriu,4.09
396,"  The Broken Crown (The Sun Sword, #1)",Michelle West,"2,920",https://www.goodreads.com//book/show/153220.The_Broken_Crown,3.93
397,  The Destroyer Book 2,Michael-Scott Earle (Goodreads Author),"1,660",https://www.goodreads.com//book/show/29247884-the-destroyer-book-2,4.11
398,  A Man and His God,Janet E. Morris (Goodreads Author),87,https://www.goodreads.com//book/show/15775130-a-man-and-his-god,4.44
399,"  Obernewtyn (The Obernewtyn Chronicles, #1)",Isobelle Carmody (Goodreads Author),"11,248",https://www.goodreads.com//book/show/47916.Obernewtyn,3.96
400,"  Child of the Prophecy (Sevenwaters, #3)",Juliet Marillier (Goodreads Author),"20,244",https://www.goodreads.com//book/show/13925.Child_of_the_Prophecy,4.12
401,"  The Battle for Skandia (Ranger's Apprentice, #4)",John Flanagan,"81,378",https://www.goodreads.com//book/show/144350.The_Battle_for_Skandia,4.34
402,"  Touch of Power (Healer, #1)",Maria V. Snyder (Goodreads Author),"42,737",https://www.goodreads.com//book/show/10445208-touch-of-power,4.14
403,"  The Slow Regard of Silent Things (The Kingkiller Chronicle, #2.5)",Patrick Rothfuss (Goodreads Author),"119,634",https://www.goodreads.com//book/show/21535271-the-slow-regard-of-silent-things,3.90
404,"  Queen of Shadows (Throne of Glass, #4)",Sarah J. Maas (Goodreads Author),"260,020",https://www.goodreads.com//book/show/18006496-queen-of-shadows,4.54
405,  The IX  (The IX #1),Andrew P. Weston (Goodreads Author),438,https://www.goodreads.com//book/show/24689551-the-ix,3.42
406,"  Among Thieves (Tales of the Kin, #1)",Douglas Hulick (Goodreads Author),"12,211",https://www.goodreads.com//book/show/8801543-among-thieves,3.94
407,"  The Dwarves (The Dwarves, #1)",Markus Heitz,"10,626",https://www.goodreads.com//book/show/6657006-the-dwarves,3.95
408,  The Broken Sword,Poul Anderson,"5,428",https://www.goodreads.com//book/show/40500762-the-broken-sword,3.86
409,  King's Lament,Lilia Blanc (Goodreads Author),78,https://www.goodreads.com//book/show/33022673-king-s-lament,3.63
410,  Epic of Lilith,Ivars Ozols (Goodreads Author),23,https://www.goodreads.com//book/show/36617106-epic-of-lilith,4.09
411,  The Oracle's Journal (Of Gods and Guardians #1),Dimitri Liountris (Goodreads Author),27,https://www.goodreads.com//book/show/42778691-the-oracle-s-journal,4.26
412,  Alice's Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,"469,995",https://www.goodreads.com//book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass,4.06
413,  Talion: Revenant,Michael A. Stackpole (Goodreads Author),"2,684",https://www.goodreads.com//book/show/89553.Talion,4.17
414,"  Desolace (Desolace, #1)",Lucian Barnes (Goodreads Author),98,https://www.goodreads.com//book/show/13503808-desolace,3.94
415,"  Tower Lord (Raven's Shadow, #2)",Anthony Ryan (Goodreads Author),"40,954",https://www.goodreads.com//book/show/18138189-tower-lord,4.17
416,  The Ring of Truth: The Wisdom of Wagner’s Ring of the Nibelung,Roger Scruton,202,https://www.goodreads.com//book/show/29429881-the-ring-of-truth,4.35
417,  The Talisman and Black House,Stephen King (Goodreads Author),"3,926",https://www.goodreads.com//book/show/97126.The_Talisman_and_Black_House,4.45
418,"  The Alchemists of Loom (Loom Saga, #1)",Elise Kova (Goodreads Author),"5,060",https://www.goodreads.com//book/show/31549513-the-alchemists-of-loom,3.99
419,  The Scorpio Races,Maggie Stiefvater (Goodreads Author),"102,073",https://www.goodreads.com//book/show/10626594-the-scorpio-races,4.07
420,"  City of Skies (The Viking Assassin, #1)",Farah Cook (Goodreads Author),756,https://www.goodreads.com//book/show/35621414-city-of-skies,3.88
421,"  Running with the Demon (Word & Void, #1)",Terry Brooks (Goodreads Author),"27,236",https://www.goodreads.com//book/show/187124.Running_with_the_Demon,3.97
422,"  The Heart of the Stone (Stonewiser, #1)",Dora Machado (Goodreads Author),321,https://www.goodreads.com//book/show/2873976-the-heart-of-the-stone,3.74
423,"  Baby (Species Intervention #6609, #1)",J.K. Accinni,856,https://www.goodreads.com//book/show/15992857-baby,3.81
424,"  The Dragon God (The Horn King, #2)",Brae Wyckoff (Goodreads Author),45,https://www.goodreads.com//book/show/17832472-the-dragon-god,4.69
425,"  The Dark Tower (The Dark Tower, #7)",Stephen King (Goodreads Author),"151,239",https://www.goodreads.com//book/show/5091.The_Dark_Tower,4.24
426,"  Echo (Species Intervention #6609, #2)",J.K. Accinni,381,https://www.goodreads.com//book/show/15992880-echo,4.15
427,"  The Shadow of What Was Lost (The Licanius Trilogy, #1)",James Islington (Goodreads Author),"28,151",https://www.goodreads.com//book/show/22878967-the-shadow-of-what-was-lost,4.14
428,"  Castle of Wizardry (The Belgariad, #4)",David Eddings,"72,450",https://www.goodreads.com//book/show/645023.Castle_of_Wizardry,4.14
429,"  Dragon Haven (Rain Wild Chronicles, #2)",Robin Hobb (Goodreads Author),"27,795",https://www.goodreads.com//book/show/7011403-dragon-haven,4.10
430,"  Lion of Macedon (Greek Series, #1)",David Gemmell,"4,770",https://www.goodreads.com//book/show/257054.Lion_of_Macedon,4.27
431,"  Prince of the Blood (Krondor's Sons, #1)",Raymond E. Feist,"22,750",https://www.goodreads.com//book/show/13878.Prince_of_the_Blood,3.99
432,"  Lord of Snow and Shadows (Tears of Artamon, #1)",Sarah Ash (Goodreads Author),"2,825",https://www.goodreads.com//book/show/216849.Lord_of_Snow_and_Shadows,3.68
433,"  House of Chains (Malazan Book of the Fallen, #4)",Steven Erikson (Goodreads Author),"38,121",https://www.goodreads.com//book/show/55398.House_of_Chains,4.34
434,  The Priory of the Orange Tree,Samantha Shannon (Goodreads Author),"45,647",https://www.goodreads.com//book/show/29774026-the-priory-of-the-orange-tree,4.17
435,"  Magician: Master (The Riftwar Saga, #2)",Raymond E. Feist,"69,139",https://www.goodreads.com//book/show/13810.Magician,4.22
436,  Enchantment,Orson Scott Card,"25,724",https://www.goodreads.com//book/show/7973.Enchantment,3.90
437,"  The Twelve Kingdoms: Sea of Shadow (The Twelve Kingdoms, #1)",Fuyumi Ono,"2,646",https://www.goodreads.com//book/show/13737.The_Twelve_Kingdoms,4.20
438,"  Mage Blood (Beyond Series, #1.5)",Janet E. Morris (Goodreads Author),73,https://www.goodreads.com//book/show/13554702-mage-blood,4.67
439,"  Torn (Trylle, #2)",Amanda Hocking (Goodreads Author),"65,333",https://www.goodreads.com//book/show/8606522-torn,4.04
440,"  Traitor's Blade (Greatcoats, #1)",Sebastien de Castell (Goodreads Author),"17,593",https://www.goodreads.com//book/show/20887238-traitor-s-blade,4.06
441,"  Serpent Mage (The Death Gate Cycle, #4)",Margaret Weis (Goodreads Author),"20,678",https://www.goodreads.com//book/show/28507.Serpent_Mage,4.08
442,  Grendel,John Gardner,"32,761",https://www.goodreads.com//book/show/676737.Grendel,3.69
443,"  Cursor's Fury (Codex Alera, #3)",Jim Butcher (Goodreads Author),"63,410",https://www.goodreads.com//book/show/29394.Cursor_s_Fury,4.32
444,"  The Sons of Thestian (The Harmatia Cycle, #1)",M.E. Vaughan (Goodreads Author),326,https://www.goodreads.com//book/show/25194442-the-sons-of-thestian,4.03
445,"  Hunt for the Star (The Eldon Archives, #1)",Dane Richter (Goodreads Author),48,https://www.goodreads.com//book/show/17450513-hunt-for-the-star,4.81
446,  Traphis: A Wizard's Tale,James D. Maxon (Goodreads Author),176,https://www.goodreads.com//book/show/11819066-traphis,3.73
447,"  The Elvenbane (Halfblood Chronicles, #1)",Andre Norton,"14,479",https://www.goodreads.com//book/show/176892.The_Elvenbane,3.95
448,  Twelve Weapons,James Dwyer (Goodreads Author),20,https://www.goodreads.com//book/show/34442170-twelve-weapons,4.50
449,  Blackstone (The Ammolite Adventures #4),C.E.  Johnson (Goodreads Author),18,https://www.goodreads.com//book/show/38332472-blackstone,4.72
450,"  The Siege of Macindaw (Ranger's Apprentice, #6)",John Flanagan,"56,047",https://www.goodreads.com//book/show/1814843.The_Siege_of_Macindaw,4.34
451,"  Trinity (Dark Legacy Cycle, #1)",Domenico Italo Composto-Hart (Goodreads Author),avg,https://www.goodreads.com//book/show/12043511-trinity,really
452,"  Greenstone (The Ammolite Adventures, #3)",C.E.  Johnson (Goodreads Author),63,https://www.goodreads.com//book/show/35251468-greenstone,4.84
453,"  The Chronicles of Master Li and Number Ten Ox (The Chronicles of Master Li and Number Ten Ox, #1-3)",Barry Hughart,"1,700",https://www.goodreads.com//book/show/92581.The_Chronicles_of_Master_Li_and_Number_Ten_Ox,4.36
454,"  The Call of the Stone (Stonewiser, #2)",Dora Machado (Goodreads Author),147,https://www.goodreads.com//book/show/17183525-the-call-of-the-stone,3.95
455,"  City of Glass (The Mortal Instruments, #3)",Cassandra Clare (Goodreads Author),"816,148",https://www.goodreads.com//book/show/3777732-city-of-glass,4.31
456,"  The King's Blood (The Dagger and the Coin, #2)",Daniel Abraham,avg,https://www.goodreads.com//book/show/12759057-the-king-s-blood,really
457,"  Memories of Ice (Malazan Book of the Fallen, #3)",Steven Erikson (Goodreads Author),"45,631",https://www.goodreads.com//book/show/175983.Memories_of_Ice,4.43
458,  The Complete Chronicles of Conan,Robert E. Howard,"4,557",https://www.goodreads.com//book/show/828878.The_Complete_Chronicles_of_Conan,4.29
459,"  The Lords of Darkness (Flat Earth, #1-3)",Tanith Lee,424,https://www.goodreads.com//book/show/1945059.The_Lords_of_Darkness,4.39
460,"  I, the Sun",Janet E. Morris (Goodreads Author),396,https://www.goodreads.com//book/show/17878917-i-the-sun,4.22
461,"  The Will of the Empress (The Circle Reforged, #1)",Tamora Pierce (Goodreads Author),"20,260",https://www.goodreads.com//book/show/153783.The_Will_of_the_Empress,4.18
462,"  A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,"567,056",https://www.goodreads.com//book/show/10664113-a-dance-with-dragons,4.32
463,"  From the Two Rivers: The Eye of the World, Part 1 (Wheel of time, #1-1)",Robert Jordan,"17,150",https://www.goodreads.com//book/show/187049.From_the_Two_Rivers,4.28
464,"  Bearers of the Black Staff (Legends of Shannara, #1)",Terry Brooks (Goodreads Author),"9,625",https://www.goodreads.com//book/show/7302794-bearers-of-the-black-staff,4.04
465,  Wizard Weather,Janet E. Morris (Goodreads Author),69,https://www.goodreads.com//book/show/17404225-wizard-weather,4.72
466,  The Destroyer Book 3,Michael-Scott Earle (Goodreads Author),"1,140",https://www.goodreads.com//book/show/29503766-the-destroyer-book-3,4.27
467,"  Empire of Storms (Throne of Glass, #5)",Sarah J. Maas (Goodreads Author),"210,725",https://www.goodreads.com//book/show/28260587-empire-of-storms,4.53
468,  Dark Lands: The Not-Where,Lyn I. Kelly,576,https://www.goodreads.com//book/show/30374784-dark-lands,4.32
469,  The Destroyer Book 4,Michael-Scott Earle (Goodreads Author),"1,058",https://www.goodreads.com//book/show/29930568-the-destroyer-book-4,4.27
470,"  The White Dragon (Pern, #3)",Anne McCaffrey,"42,902",https://www.goodreads.com//book/show/127586.The_White_Dragon,4.18
471,"  The Black Unicorn (Magic Kingdom of Landover, #2)",Terry Brooks (Goodreads Author),"17,529",https://www.goodreads.com//book/show/92845.The_Black_Unicorn,3.78
472,"  The Thousandfold Thought (The Prince of Nothing, #3)",R. Scott Bakker,"10,346",https://www.goodreads.com//book/show/13806.The_Thousandfold_Thought,3.93
473,  The Graveyard Book,Neil Gaiman (Goodreads Author),"451,190",https://www.goodreads.com//book/show/2213661.The_Graveyard_Book,4.13
474,"  The Price of Spring (Long Price Quartet, #4)",Daniel Abraham,"5,326",https://www.goodreads.com//book/show/6065889-the-price-of-spring,4.08
475,"  In the Realm of the Wolf (The Drenai Saga, #5)",David Gemmell,"7,797",https://www.goodreads.com//book/show/870808.In_the_Realm_of_the_Wolf,4.23
476,"  A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas (Goodreads Author),"366,369",https://www.goodreads.com//book/show/17927395-a-court-of-mist-and-fury,4.61
477,"  The Castle of Llyr (The Chronicles of Prydain, #3)",Lloyd Alexander,"34,692",https://www.goodreads.com//book/show/24779.The_Castle_of_Llyr,4.05
478,"  Stone of Tears (Sword of Truth, #2)",Terry Goodkind,"108,244",https://www.goodreads.com//book/show/234184.Stone_of_Tears,4.09
479,  Doctors in Hell (Heroes in Hell #18),Janet E. Morris (Goodreads Author),68,https://www.goodreads.com//book/show/25729807-doctors-in-hell,4.68
480,"  The Rivers of Zadaa (Pendragon, #6)",D.J. MacHale (Goodreads Author),"23,287",https://www.goodreads.com//book/show/215542.The_Rivers_of_Zadaa,4.19
481,"  Shadow Moon (Chronicles of the Shadow War, #1)",George Lucas,"2,060",https://www.goodreads.com//book/show/160859.Shadow_Moon,3.32
482,  Song of the Beast,Carol Berg (Goodreads Author),"2,280",https://www.goodreads.com//book/show/437788.Song_of_the_Beast,4.03
483,  The War of the Worlds,H.G. Wells,"250,594",https://www.goodreads.com//book/show/8909.The_War_of_the_Worlds,3.83
484,"  The Wishsong of Shannara (The Original Shannara Trilogy, #3)",Terry Brooks (Goodreads Author),"52,264",https://www.goodreads.com//book/show/15567.The_Wishsong_of_Shannara,3.95
485,"  The Paradise War (The Song of Albion, #1)",Stephen R. Lawhead,"9,534",https://www.goodreads.com//book/show/73932.The_Paradise_War,4.04
486,"  Memnoch the Devil (The Vampire Chronicles, #5)",Anne Rice,"75,417",https://www.goodreads.com//book/show/31338.Memnoch_the_Devil,3.75
487,"  The Second Chronicles of Thomas Covenant (The Second Chronicles of Thomas Covenant, #1-3)",Stephen R. Donaldson,"3,484",https://www.goodreads.com//book/show/228991.The_Second_Chronicles_of_Thomas_Covenant,4.02
488,  Sword & Citadel (The Book of the New Sun #3-4),Gene Wolfe,"11,001",https://www.goodreads.com//book/show/40995.Sword_Citadel,4.32
489,"  King's Dragon (Crown of Stars, #1)",Kate Elliott (Goodreads Author),"8,626",https://www.goodreads.com//book/show/202039.King_s_Dragon,3.80
490,"  Escaping Destiny (Tapestry Chronicles, #1)",Jeffrey Pierce (Goodreads Author),145,https://www.goodreads.com//book/show/10425098-escaping-destiny,4.03
491,  گم شده ای در مه,سید مرتضی مصطفوی (Goodreads Author),890,https://www.goodreads.com//book/show/40941582,4.03
492,"  The Rose and the Thorn (The Riyria Chronicles, #2)",Michael J. Sullivan (Goodreads Author),"21,696",https://www.goodreads.com//book/show/17163514-the-rose-and-the-thorn,4.40
493,"  Tribesman (Tribesman, #1)",Paul Freeman (Goodreads Author),145,https://www.goodreads.com//book/show/16075834-tribesman,3.88
494,"  The Last Dragon Slayer (Deathsworn Arc, #1)",Martyn Stanley (Goodreads Author),440,https://www.goodreads.com//book/show/23154350-the-last-dragon-slayer,3.68
495,  Otuna's Flute,Maricar Banguis (Goodreads Author),avg,https://www.goodreads.com//book/show/43700522-otuna-s-flute,it
496,  The Rootless,Angelo Tsanatelis (Goodreads Author),31,https://www.goodreads.com//book/show/11447962-the-rootless,4.29
497,"  Wandfasted (The Black Witch Chronicles, #0.5)",Laurie Forest (Goodreads Author),"3,297",https://www.goodreads.com//book/show/33225153-wandfasted,4.25
498,"  Sandry's Book (Circle of Magic, #1)",Tamora Pierce (Goodreads Author),"42,871",https://www.goodreads.com//book/show/58889.Sandry_s_Book,3.97
499,  Shardik (Beklan Empire #1),Richard  Adams,"3,837",https://www.goodreads.com//book/show/92408.Shardik,3.50
500,"  Lirael (Abhorsen, #2)",Garth Nix (Goodreads Author),"111,215",https://www.goodreads.com//book/show/47624.Lirael,4.26
501,"  Pseudo-Dragon (The Blue Dragon's Geas, #4)",Cheryl Matthynssens (Goodreads Author),140,https://www.goodreads.com//book/show/28762288-pseudo-dragon,4.39
502,"  Rise of a Merchant Prince (The Serpentwar Saga, #2)",Raymond E. Feist,"26,551",https://www.goodreads.com//book/show/43917.Rise_of_a_Merchant_Prince,4.06
503,"  The Talisman (The Talisman, #1)",Stephen King (Goodreads Author),"109,111",https://www.goodreads.com//book/show/59219.The_Talisman,4.13
504,"  Sword of Shadows (Shadow Series, #2)",C.N. Lesley (Goodreads Author),82,https://www.goodreads.com//book/show/23491735-sword-of-shadows,4.49
505,"  The Chronicles of Corum (Corum, #4-6)",Michael Moorcock,"1,619",https://www.goodreads.com//book/show/399345.The_Chronicles_of_Corum,4.04
506,"  The One (Species Intervention #6609, #6)",J.K. Accinni,255,https://www.goodreads.com//book/show/18044158-the-one,4.45
507,"  The Misenchanted Sword (Ethshar, #1)",Lawrence Watt-Evans (Goodreads Author),"3,351",https://www.goodreads.com//book/show/317497.The_Misenchanted_Sword,4.03
508,"  Cold Magic (Spiritwalker, #1)",Kate Elliott (Goodreads Author),"8,677",https://www.goodreads.com//book/show/7114825-cold-magic,3.72
509,  The Thirteenth Tale,Diane Setterfield (Goodreads Author),"277,134",https://www.goodreads.com//book/show/40440.The_Thirteenth_Tale,3.96
510,"  The Silent Blade (Forgotten Realms: Paths of Darkness, #1; Legend of Drizzt, #11)",R.A. Salvatore,"18,796",https://www.goodreads.com//book/show/239105.The_Silent_Blade,4.12
511,"  The Birthgrave (Birthgrave, #1)",Tanith Lee,"1,486",https://www.goodreads.com//book/show/1021251.The_Birthgrave,3.75
512,"  Mélusine (Doctrine of Labyrinths, #1)",Sarah Monette (Goodreads Author),"4,064",https://www.goodreads.com//book/show/492069.M_lusine,3.64
513,"  The False Prince (Ascendance, #1)",Jennifer A. Nielsen (Goodreads Author),"79,852",https://www.goodreads.com//book/show/12432220-the-false-prince,4.18
514,"  The Killing Moon (Dreamblood, #1)",N.K. Jemisin (Goodreads Author),"13,905",https://www.goodreads.com//book/show/11774272-the-killing-moon,3.92
515,"  A Knight of the Word (Word & Void, #2)",Terry Brooks (Goodreads Author),"14,336",https://www.goodreads.com//book/show/420496.A_Knight_of_the_Word,4.05
516,"  The 13½ Lives of Captain Bluebear (Zamonia, #1)",Walter Moers,"18,914",https://www.goodreads.com//book/show/62032.The_13_Lives_of_Captain_Bluebear,4.25
517,"  Ender's Game (Ender's Saga, #1)",Orson Scott Card,"1,157,839",https://www.goodreads.com//book/show/375802.Ender_s_Game,4.30
518,"  The Elf Queen of Shannara (Heritage of Shannara, #3)",Terry Brooks (Goodreads Author),"29,672",https://www.goodreads.com//book/show/15566.The_Elf_Queen_of_Shannara,4.04
519,"  City of Ashes (The Mortal Instruments, #2)",Cassandra Clare (Goodreads Author),"769,141",https://www.goodreads.com//book/show/1582996.City_of_Ashes,4.16
520,"  An Autumn War (Long Price Quartet, #3)",Daniel Abraham,"6,374",https://www.goodreads.com//book/show/2443516.An_Autumn_War,4.02
521,"  Wolf-Speaker (Immortals, #2)",Tamora Pierce (Goodreads Author),"56,734",https://www.goodreads.com//book/show/24094.Wolf_Speaker,4.15
522,"  Grass for His Pillow (Tales of the Otori, #2)",Lian Hearn,"22,355",https://www.goodreads.com//book/show/77161.Grass_for_His_Pillow,4.03
523,"  A Betrayal in Winter (Long Price Quartet, #2)",Daniel Abraham,"6,453",https://www.goodreads.com//book/show/811161.A_Betrayal_in_Winter,3.89
524,  Tempus,Janet E. Morris (Goodreads Author),240,https://www.goodreads.com//book/show/3274660-tempus,4.10
525,"  The Realms of the Gods (Immortals, #4)",Tamora Pierce (Goodreads Author),"52,541",https://www.goodreads.com//book/show/13834.The_Realms_of_the_Gods,4.32
526,"  Song of Susannah (The Dark Tower, #6)",Stephen King (Goodreads Author),"138,330",https://www.goodreads.com//book/show/5093.Song_of_Susannah,3.97
527,"  Wrath (The Faithful and the Fallen, #4)",John Gwynne (Goodreads Author),"7,946",https://www.goodreads.com//book/show/27411345-wrath,4.48
528,"  Proven Guilty (The Dresden Files, #8)",Jim Butcher (Goodreads Author),"107,542",https://www.goodreads.com//book/show/91474.Proven_Guilty,4.38
529,"  Valor (The Faithful and the Fallen, #2)",John Gwynne (Goodreads Author),"11,723",https://www.goodreads.com//book/show/40651803-valor,4.39
530,"  Wicked Lovely (Wicked Lovely, #1)",Melissa Marr (Goodreads Author),"158,849",https://www.goodreads.com//book/show/305234.Wicked_Lovely,3.69
531,"  Reaper Man (Discworld, #11; Death, #2)",Terry Pratchett,"86,607",https://www.goodreads.com//book/show/34517.Reaper_Man,4.26
532,"  Homeland (Forgotten Realms: The Dark Elf Trilogy, #1; Legend of Drizzt, #1)",R.A. Salvatore,"77,320",https://www.goodreads.com//book/show/50027.Homeland,4.23
533,"  The First Chronicles of Druss the Legend (The Drenai Saga, #6)",David Gemmell,"10,530",https://www.goodreads.com//book/show/526071.The_First_Chronicles_of_Druss_the_Legend,4.34
534,  Three Hearts and Three Lions,Poul Anderson,"4,078",https://www.goodreads.com//book/show/338329.Three_Hearts_and_Three_Lions,3.87
535,"  Naamah's Kiss (Naamah Trilogy, #1)",Jacqueline Carey (Goodreads Author),"13,413",https://www.goodreads.com//book/show/5659537-naamah-s-kiss,4.11
536,"  The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",C.S. Lewis,"404,185",https://www.goodreads.com//book/show/140225.The_Voyage_of_the_Dawn_Treader,4.08
537,  The Iron Dragon's Daughter,Michael Swanwick,"3,510",https://www.goodreads.com//book/show/25781.The_Iron_Dragon_s_Daughter,3.69
538,"  Flame of Sevenwaters (Sevenwaters, #6)",Juliet Marillier (Goodreads Author),"7,252",https://www.goodreads.com//book/show/16087861-flame-of-sevenwaters,4.15
539,"  The Alloy of Law (Mistborn, #4)",Brandon Sanderson (Goodreads Author),"142,808",https://www.goodreads.com//book/show/10803121-the-alloy-of-law,4.20
540,"  The Swords of Night and Day (The Drenai Saga, #11)",David Gemmell,"8,167",https://www.goodreads.com//book/show/19298.The_Swords_of_Night_and_Day,4.32
541,  Kull: Exile of Atlantis,Robert E. Howard,"2,596",https://www.goodreads.com//book/show/186182.Kull,3.98
542,  Dark Lands: Requiem,Lyn I. Kelly,648,https://www.goodreads.com//book/show/27014776-dark-lands,4.27
543,"  Wieża Jaskółki (Saga o Wiedźminie, #4)",Andrzej Sapkowski,"50,199",https://www.goodreads.com//book/show/68455.Wie_a_Jask_ki,4.27
544,  The Phantom Tollbooth,Norton Juster,"251,449",https://www.goodreads.com//book/show/378.The_Phantom_Tollbooth,4.18
545,"  God Stalk (Kencyrath, #1)",P.C. Hodgell,"2,279",https://www.goodreads.com//book/show/69169.God_Stalk,4.12
546,"  Wintersmith (Discworld, #35; Tiffany Aching, #3)",Terry Pratchett,"56,642",https://www.goodreads.com//book/show/34492.Wintersmith,4.20
547,"  The Iron Tower (Iron Tower, #1-3)",Dennis L. McKiernan (Goodreads Author),751,https://www.goodreads.com//book/show/554773.The_Iron_Tower,3.94
548,"  The Call of Agon (The Children of Telm, #1)",Dean F. Wilson (Goodreads Author),362,https://www.goodreads.com//book/show/17399863-the-call-of-agon,3.65
549,"  Broken Blades Don’t Sing (Tales of Ashkar, #1)",Kayl Karadjian (Goodreads Author),38,https://www.goodreads.com//book/show/26872739-broken-blades-don-t-sing,3.89
550,"  Fate Forged (Bound Magic, #1)",B.P. Donigan (Goodreads Author),143,https://www.goodreads.com//book/show/42647647-fate-forged,4.14
551,"  Spintecătorul Sorții (Cartea Oamenilor, #1)","Miruna Drăghici (Goodreads Author) (Author, illlustrator)",7,https://www.goodreads.com//book/show/44440654-spintec-torul-sor-ii,4.57
552,  Maya of the Inbetween,Sita Bennett (Goodreads Author),91,https://www.goodreads.com//book/show/52862903-maya-of-the-inbetween,4.82
